"spect3" "spect5" "spect6"
"chr4_153613578" 2 3 3
"chr4_153616385" 32 40 38
"chr4_153620677" 1 2 3
"chr4_153626908" 31 38 39
"chr4_153634291" 4 5 5
"chr4_153654961" 1 1 1
"chr4_153658275" 30 38 36
"chr4_153680786" 16 22 19
"chr4_153683139" 16 21 24
"chr4_153686214" 2 4 5
"chr4_153694741" 44 51 51
"chr4_153706673" 43 52 48
"chr4_153717753" 7 9 10
"chr4_153742003" 6 7 9
"chr4_153754292" 3 4 9
"chr4_153794432" 20 25 24
"chr4_153796563" 3 4 3
"chr4_153800343" 4 5 6
"chr4_153802965" 1 1 3
"chr4_153827641" 21 26 28
"chr4_153840556" 12 13 13
"chr4_153842930" 2 2 2
"chr4_153844676" 4 5 5
"chr4_153848630" 3 4 4
"chr4_153850681" 2 3 2
"chr4_153870927" 18 25 31
"chr4_153875467" 2 3 2
"chr4_153880066" 3 4 3
"chr4_153885202" 13 18 20
"chr4_153888276" 10 13 15
"chr4_153891256" 5 8 6
"chr4_153905809" 4 6 9
"chr4_153913144" 14 17 16
"chr4_153920547" 8 11 11
"chr4_153930080" 2 3 6
"chr4_153932915" 24 25 25
"chr4_153936113" 8 10 11
"chr4_153938350" 25 33 36
"chr4_153951294" 2 2 4
"chr4_153960722" 62 72 70
"chr4_153962858" 1 1 1
"chr4_153967873" 2 3 3
"chr4_153972084" 1 1 1
"chr4_153978431" 44 72 68
"chr4_153984488" 4 5 6
"chr4_154001076" 2 2 4
"chr4_154004327" 7 10 9
"chr4_154006456" 8 10 11
"chr4_154026811" 5 6 5
"chr4_154037077" 6 7 9
"chr4_154077487" 1 2 3
"chr4_154081404" 10 13 12
"chr4_154082934" 1 1 1
"chr4_154085082" 31 37 33
"chr4_154086879" 38 69 66
"chr4_154104956" 3 4 4
"chr4_154108648" 13 19 16
"chr4_154165824" 50 63 62
"chr4_154170960" 3 5 9
"chr4_154181019" 47 56 59
"chr4_154224323" 1 2 5
"chr4_154256614" 2 3 3
"chr4_154387593" 2 3 3
"chr4_154396493" 32 39 39
"chr4_154409715" 1 1 2
"chr4_154414072" 1 1 4
"chr4_154429404" 1 1 1
"chr4_154436569" 20 30 37
"chr4_154438670" 16 22 26
"chr4_154446714" 21 28 25
"chr4_154451958" 6 7 11
"chr4_154457267" 4 8 8
"chr4_154460794" 12 14 14
"chr4_154479724" 4 7 16
"chr4_154482083" 4 5 5
"chr4_154485389" 1 1 1
"chr4_154487924" 27 38 38
"chr4_154490524" 13 15 13
"chr4_154493993" 50 59 57
"chr4_154500889" 1 1 3
"chr4_154511567" 3 4 4
"chr4_154539622" 45 55 52
"chr4_154546159" 1 1 1
"chr4_154560567" 1 1 1
"chr4_154582984" 1 1 1
"chr4_154585322" 5 7 7
"chr4_154591957" 26 44 48
"chr4_154595117" 2 3 3
"chr4_154596808" 3 4 4
"chr4_154599450" 6 12 11
"chr4_154603158" 2 3 6
"chr4_154606131" 43 58 54
"chr4_154611157" 1 2 3
"chr4_154671432" 8 14 9
"chr4_154681998" 9 12 11
"chr4_154687804" 44 58 61
"chr4_154712920" 4 5 4
"chr4_154715260" 3 4 3
"chr4_154737926" 3 5 4
"chr4_154744087" 34 44 41
"chr4_154749036" 2 2 5
"chr4_154750960" 6 7 7
"chr4_154755701" 4 5 6
"chr4_154759560" 2 2 2
"chr4_154764629" 36 40 43
"chr4_154776346" 3 5 6
"chr4_154780127" 16 20 19
"chr4_154784117" 1 2 1
"chr4_154788759" 4 5 6
"chr4_154810217" 2 3 3
"chr4_154836891" 3 5 6
"chr4_154839924" 1 1 3
"chr4_154848856" 1 1 1
"chr4_154870428" 3 4 5
"chr4_154876316" 1 1 2
"chr4_154883723" 4 6 5
"chr4_154893241" 9 11 9
"chr4_154895498" 1 1 1
"chr4_154910948" 3 4 4
"chr4_154913020" 18 22 20
"chr4_154916364" 9 11 17
"chr4_154919277" 2 3 5
"chr4_154921793" 1 1 3
"chr4_154925433" 4 7 4
"chr4_154929243" 15 20 18
"chr4_154931165" 1 1 2
"chr4_154932882" 43 64 62
"chr4_154935521" 18 26 23
"chr4_154938479" 15 17 19
"chr4_154940913" 1 1 2
"chr4_154946283" 19 23 22
"chr4_154952855" 2 3 2
"chr4_154954706" 4 5 4
"chr4_154969629" 2 3 2
"chr4_154975042" 19 30 31
"chr4_154978450" 14 27 27
"chr4_154987263" 1 2 1
"chr4_154990351" 1 1 3
"chr4_154992479" 5 6 6
"chr4_154995317" 7 11 15
"chr4_154998421" 1 1 1
"chr4_155003155" 12 15 12
"chr4_155006135" 24 30 32
"chr4_155010224" 1 1 1
"chr4_155021036" 7 11 12
"chr4_155023340" 18 22 21
"chr4_155026184" 2 2 3
"chr4_155028526" 3 4 8
"chr4_155032564" 2 3 2
"chr4_155034822" 10 14 13
"chr4_155036694" 39 47 49
"chr4_155050959" 1 1 1
"chr4_155052808" 1 1 1
"chr4_155057610" 9 13 14
"chr4_155060351" 1 1 1
"chr4_155062708" 6 8 11
"chr4_155074485" 9 12 11
"chr4_155091938" 8 10 15
"chr4_155094341" 24 28 28
"chr4_155099085" 13 17 20
"chr4_155103507" 1 1 4
"chr4_155106075" 9 12 13
"chr4_155108208" 4 5 8
"chr4_155110675" 21 27 29
"chr4_155112335" 3 4 5
"chr4_155114481" 2 2 2
"chr4_155116391" 2 3 9
"chr4_155121802" 5 8 6
"chr4_155145718" 23 28 25
"chr4_155147603" 7 9 8
"chr4_155151365" 1 1 1
"chr4_155166450" 3 4 3
"chr4_155189155" 2 3 2
"chr4_155210857" 1 2 1
"chr4_155216037" 1 1 1
"chr4_155217928" 25 29 32
"chr4_155220056" 2 3 2
"chr4_155221931" 8 11 15
"chr4_155224116" 23 28 28
"chr4_155226096" 10 13 15
"chr4_155260196" 15 20 20
"chr4_155265013" 5 7 10
"chr4_155267283" 1 1 1
"chr4_155271272" 1 1 2
"chr4_155280490" 7 11 8
"chr4_155283523" 1 1 3
"chr4_155285949" 2 3 2
"chr4_155287821" 6 9 12
"chr4_155293080" 5 7 6
"chr4_155295501" 11 17 15
"chr4_155298276" 1 1 1
"chr4_155313629" 1 1 1
"chr4_155315721" 1 1 1
"chr4_155320833" 7 9 13
"chr4_155323616" 29 34 32
"chr4_155325671" 19 25 27
"chr4_155327323" 18 23 21
"chr4_155332992" 3 4 4
"chr4_155346990" 13 25 22
"chr4_155351291" 25 29 30
"chr4_155354523" 10 12 13
"chr4_155357405" 20 25 24
"chr4_155359487" 1 1 1
"chr4_155361109" 7 10 10
"chr4_155364359" 11 14 13
"chr4_155369424" 6 9 8
"chr4_155371946" 1 1 1
"chr4_155374306" 1 1 6
"chr4_155377735" 21 36 35
"chr4_155380232" 10 13 14
"chr4_155382984" 16 22 20
"chr4_155386909" 10 15 21
"chr4_155389720" 1 1 3
"chr4_155392013" 2 2 2
"chr4_155395159" 32 42 38
"chr4_155397459" 22 28 25
"chr4_155399668" 1 1 2
"chr4_155417692" 4 6 9
"chr4_155431733" 8 11 14
"chr4_155436839" 4 6 5
"chr4_155442818" 1 2 2
"chr4_155480013" 8 16 19
"chr4_155488760" 23 28 27
"chr4_155490814" 24 28 30
"chr4_155535023" 3 4 6
"chr4_155538829" 6 9 10
"chr4_155546234" 2 3 3
"chr4_155550330" 18 28 26
"chr4_155554049" 2 3 3
"chr4_155563182" 10 14 15
"chr4_155566869" 1 2 1
"chr4_155576715" 2 3 2
"chr4_155615619" 6 10 12
"chr4_155618166" 7 9 8
"chr4_155623235" 7 9 9
"chr4_155628831" 3 6 5
"chr4_155664239" 18 28 21
"chr4_155666711" 42 60 58
"chr4_155668625" 21 30 27
"chr4_155693311" 3 5 3
"chr4_155697082" 5 6 5
"chr4_155710552" 1 1 1
"chr4_155712656" 2 3 8
"chr4_155717074" 6 9 7
"chr4_155719218" 1 1 3
"chr4_155720870" 13 18 19
"chr4_155723142" 2 3 3
"chr4_155727038" 3 4 5
"chr4_155729212" 18 22 25
"chr4_155733665" 45 57 57
"chr4_155738297" 16 20 19
"chr4_155741248" 2 2 2
"chr4_155745809" 2 3 2
"chr4_155748799" 1 2 1
"chr4_155752188" 2 3 3
"chr4_155755979" 3 5 4
"chr4_155760357" 16 22 20
"chr4_155763629" 1 1 1
"chr4_155765553" 8 10 10
"chr4_155770550" 3 4 5
"chr4_155772415" 14 23 18
"chr4_155774177" 2 3 3
"chr4_155776348" 6 11 10
"chr4_155780289" 10 16 13
"chr4_155782901" 2 3 2
"chr4_155802353" 10 13 12
"chr4_155807427" 9 12 12
"chr4_155811903" 14 19 20
"chr4_155814804" 1 1 1
"chr4_155817215" 28 41 40
"chr4_155819758" 18 25 25
"chr4_155822473" 26 33 38
"chr4_155826345" 1 2 1
"chr4_155831802" 2 2 3
"chr4_155835162" 13 19 15
"chr4_155847276" 1 2 5
"chr4_155850038" 5 6 5
"chr4_155852358" 1 1 1
"chr4_155890065" 5 7 6
"chr4_155915534" 1 1 1
"chr4_155918926" 12 17 18
"chr4_155931256" 15 22 24
"chr4_155932776" 18 25 26
"chr4_155935100" 9 13 12
"chr4_155939069" 7 10 8
"chr4_155944912" 1 2 1
"chr4_155946869" 1 1 1
"chr4_155948573" 14 19 22
"chr4_155950692" 22 27 28
"chr4_155952420" 2 2 2
"chr4_155958019" 2 2 2
"chr4_155959848" 7 9 7
"chr4_155961808" 3 4 3
"chr4_155969419" 2 4 3
"chr4_155980830" 9 14 12
"chr4_155982577" 16 20 24
"chr4_155984077" 1 2 1
"chr4_155991744" 40 49 47
"chr4_155997382" 1 2 4
"chr4_156004472" 2 3 4
"chr4_156008767" 1 1 1
"chr4_156011104" 1 1 2
"chr4_156013192" 1 1 1
"chr4_156015233" 1 1 4
"chr4_156017178" 13 17 17
"chr4_156019132" 3 4 4
"chr4_156030558" 1 2 4
"chr4_156036510" 3 4 7
"chr4_156038529" 2 3 2
"chr4_156052184" 8 10 15
"chr4_156057195" 32 41 44
"chr4_156063625" 6 10 15
"chr4_156082007" 14 21 22
"chr4_156090973" 15 24 24
"chr4_156092465" 5 7 8
"chr4_156094098" 2 3 3
"chr4_156118110" 23 30 34
"chr4_156121478" 6 9 10
"chr4_156124272" 8 11 10
"chr4_156144752" 19 34 29
"chr4_156146534" 14 18 15
"chr4_156174058" 3 5 4
"chr4_156189607" 1 1 3
"chr4_156191661" 10 14 12
"chr4_156193304" 1 1 2
"chr4_156194853" 27 40 41
"chr4_156198784" 25 29 27
"chr4_156200596" 1 1 1
"chr4_156202588" 1 1 4
"chr4_156204576" 23 28 28
"chr4_156206996" 2 3 3
"chr4_156209495" 2 3 5
"chr4_156213580" 1 1 1
"chr4_156215832" 14 18 18
"chr4_156218406" 16 22 29
"chr4_156224162" 10 13 14
"chr4_156227083" 1 1 2
"chr4_156233463" 7 10 10
"chr4_156235685" 3 4 5
"chr4_156240725" 2 3 2
"chr4_156256763" 18 24 26
"chr4_156268088" 1 1 1
"chr4_156271187" 3 4 4
"chr4_156273767" 21 27 24
"chr4_156277217" 4 6 6
"chr4_156288992" 22 27 29
"chr4_156291494" 1 1 2
"chr4_156313687" 1 1 2
"chr4_156321196" 15 18 18
"chr4_156323278" 3 3 4
"chr4_156334172" 40 50 48
"chr4_156337034" 4 5 5
"chr4_156339705" 2 3 2
"chr4_156343282" 14 19 22
"chr4_156347883" 11 13 16
"chr4_156351382" 1 2 1
"chr4_156366892" 11 16 15
"chr4_156389872" 1 1 2
"chr4_156407577" 14 19 23
"chr4_156416204" 2 3 2
"chr4_156420251" 2 2 3
"chr4_156425052" 1 2 1
"chr4_156431851" 16 21 20
"chr4_156433760" 3 3 3
"chr4_156435812" 9 11 10
"chr4_156437811" 2 3 3
"chr4_156447953" 1 1 3
"chr4_156451327" 1 1 1
"chr4_156458259" 1 2 1
"chr4_156469784" 3 4 4
"chr4_156480708" 4 5 5
"chr4_156485566" 2 3 2
"chr4_156490517" 6 9 8
"chr4_156500417" 9 12 10
"chr4_156510990" 4 5 5
"chr4_156520501" 1 2 3
"chr4_156525215" 4 5 4
"chr4_156537471" 14 20 20
"chr4_156571803" 14 23 20
"chr4_156579959" 1 1 1
"chr4_156597135" 2 2 2
"chr4_156599638" 9 12 10
"chr4_156601822" 3 4 6
"chr4_156607276" 14 22 20
"chr4_156609816" 9 11 11
"chr4_156614439" 14 17 18
"chr4_156630105" 1 1 1
"chr4_156634640" 22 26 25
"chr4_156649955" 16 21 19
"chr4_156668563" 12 14 12
"chr4_156676071" 2 3 2
"chr4_156694648" 7 8 7
"chr4_156712574" 7 9 8
"chr4_156742935" 2 2 3
"chr4_156750890" 10 12 12
"chr4_156757460" 19 24 25
"chr4_156761052" 1 1 2
"chr4_156763808" 17 24 26
"chr4_156767219" 13 18 16
"chr4_156781088" 34 42 49
"chr4_156788944" 6 7 9
"chr4_156821775" 19 24 25
"chr4_156826124" 1 1 1
"chr4_156828163" 2 3 3
"chr4_156830501" 22 24 25
"chr4_156833975" 6 10 11
"chr4_156862979" 3 5 4
"chr4_156864921" 15 18 17
"chr4_156866956" 1 1 3
"chr4_156868694" 3 4 4
"chr4_156871382" 7 10 11
"chr4_156873305" 8 11 12
"chr4_156874876" 9 13 14
"chr4_156877186" 1 1 5
"chr4_156891760" 1 1 2
"chr4_156900268" 1 2 2
"chr4_156903466" 2 2 2
"chr4_156917081" 1 2 1
"chr4_156921982" 11 14 12
"chr4_156924328" 20 26 27
"chr4_156927175" 4 5 4
"chr4_156932246" 15 23 23
"chr4_156934654" 15 17 18
"chr4_156936543" 4 5 5
"chr4_156943785" 1 1 1
"chr4_156964092" 1 1 1
"chr4_156968374" 8 10 11
"chr4_156979054" 7 10 10
"chr4_156980773" 2 2 2
"chr4_156982624" 18 23 24
"chr4_156984793" 8 10 11
"chr4_156988952" 10 11 10
"chr4_156990884" 2 3 3
"chr4_156994754" 35 39 44
"chr4_156996880" 13 15 15
"chr4_156999439" 3 5 10
"chr4_157001404" 16 20 23
"chr4_157004451" 11 15 14
"chr4_157009385" 1 1 1
"chr4_157014611" 14 17 20
"chr4_157016725" 27 31 31
"chr4_157027490" 1 1 1
"chr4_157030242" 2 3 3
"chr4_157032341" 3 4 6
"chr4_157039951" 12 19 18
"chr4_157051138" 20 28 25
"chr4_157053213" 5 6 8
"chr4_157058719" 2 2 2
"chr4_157060897" 3 4 3
"chr4_157063471" 3 6 7
"chr4_157074369" 12 15 18
"chr4_157076989" 1 1 1
"chr4_157079175" 6 7 7
"chr4_157083497" 7 9 10
"chr4_157085365" 13 15 13
"chr4_157087834" 1 1 2
"chr4_157089837" 9 11 12
"chr4_157092103" 1 1 2
"chr4_157125329" 1 1 1
"chr4_157126839" 5 7 9
"chr4_157129013" 4 6 8
"chr4_157131937" 2 3 2
"chr4_157135034" 8 11 13
"chr4_157137675" 20 25 26
"chr4_157142474" 19 23 25
"chr4_157193489" 1 1 2
"chr4_157202343" 3 4 4
"chr4_157206225" 1 1 2
"chr4_157210695" 8 11 10
"chr4_157212407" 1 1 3
"chr4_157225352" 8 11 14
"chr4_157227489" 3 4 3
"chr4_157230276" 4 6 7
"chr4_157274414" 1 1 1
"chr4_157282315" 2 3 2
"chr4_157283737" 17 22 20
"chr4_157286629" 19 24 25
"chr4_157290321" 7 10 9
"chr4_157293869" 6 8 9
"chr4_157295493" 1 1 1
"chr4_157297117" 6 8 7
"chr4_157299480" 15 19 20
"chr4_157312451" 50 66 66
"chr4_157320056" 1 1 2
"chr4_157323294" 3 4 3
"chr4_157326865" 27 33 36
"chr4_157329414" 40 60 57
"chr4_157370804" 4 9 6
"chr4_157379881" 38 67 72
"chr4_157393383" 2 3 2
"chr4_157397056" 37 46 44
"chr4_157402823" 5 9 6
"chr4_157429417" 6 7 6
"chr4_157432252" 8 10 12
"chr4_157444312" 6 13 16
"chr4_157449952" 1 2 2
"chr4_157453790" 2 4 6
"chr4_157458968" 4 5 6
"chr4_157498481" 22 37 29
"chr4_157504093" 1 1 2
"chr4_157513793" 11 15 16
"chr4_157517113" 8 11 8
"chr4_157518907" 24 28 29
"chr4_157542251" 1 1 1
"chr4_157552486" 1 1 1
"chr4_157559989" 3 5 4
"chr4_157564781" 8 11 11
"chr4_157570790" 3 3 3
"chr4_157573413" 9 10 10
"chr4_157584882" 1 1 1
"chr4_157588974" 5 6 6
"chr4_157592709" 57 71 65
"chr4_157636032" 2 3 2
"chr4_157663453" 1 1 1
"chr4_157665049" 18 25 27
"chr4_157666777" 4 6 4
"chr4_157670856" 11 16 19
"chr4_157672993" 6 9 10
"chr4_157675027" 1 1 1
"chr4_157679434" 2 2 2
"chr4_157681636" 34 44 43
"chr4_157704294" 2 2 2
"chr4_157706301" 1 1 1
"chr4_157710793" 6 9 13
"chr4_157723898" 4 7 4
"chr4_157726134" 27 38 31
"chr4_157728731" 2 3 6
"chr4_157731248" 2 3 2
"chr4_157734902" 19 27 23
"chr4_157736780" 2 3 3
"chr4_157741850" 26 33 31
"chr4_157744067" 2 3 2
"chr4_157747743" 6 8 7
"chr4_157749933" 7 9 8
"chr4_157755903" 10 14 12
"chr4_157759164" 1 1 1
"chr4_157786737" 3 4 4
"chr4_157789205" 9 13 15
"chr4_157842569" 5 7 8
"chr4_157844698" 5 8 8
"chr4_157846852" 8 11 13
"chr4_157849469" 9 13 15
"chr4_157888650" 1 2 1
"chr4_157893599" 2 3 4
"chr4_157908881" 2 3 3
"chr4_157918516" 13 18 17
"chr4_157948102" 4 6 8
"chr4_157951205" 4 5 5
"chr4_157956243" 1 1 1
"chr4_157959026" 5 7 7
"chr4_157963787" 7 12 15
"chr4_157969907" 19 25 24
"chr4_157988220" 1 1 2
"chr4_157990835" 15 18 17
"chr4_157993806" 2 2 3
"chr4_157996199" 8 9 9
"chr4_158004631" 16 20 25
"chr4_158009749" 9 11 9
"chr4_158019758" 19 23 23
"chr4_158031926" 12 18 18
"chr4_158035126" 1 1 1
"chr4_158037739" 3 4 4
"chr4_158055231" 2 2 2
"chr4_158063630" 1 1 1
"chr4_158066662" 25 29 28
"chr4_158071085" 1 1 1
"chr4_158085516" 20 25 25
"chr4_158089607" 24 28 24
"chr4_158092095" 5 6 8
"chr4_158095059" 19 22 22
"chr4_158097302" 2 2 2
"chr4_158099792" 1 1 2
"chr4_158102289" 40 44 45
"chr4_158104778" 2 3 3
"chr4_158107082" 23 30 30
"chr4_158110997" 20 23 23
"chr4_158112810" 22 30 34
"chr4_158114773" 30 40 35
"chr4_158119832" 8 11 12
"chr4_158134024" 7 9 8
"chr4_158140595" 12 17 19
"chr4_158144688" 26 32 34
"chr4_158146854" 21 28 29
"chr4_158148703" 38 46 45
"chr4_158151439" 1 1 1
"chr4_158156829" 6 8 7
"chr4_158169369" 7 9 11
"chr4_158171833" 18 23 26
"chr4_158174152" 19 24 31
"chr4_158176479" 25 28 26
"chr4_158199662" 11 17 21
"chr4_158202048" 10 12 10
"chr4_158203746" 14 17 17
"chr4_158207603" 1 1 1
"chr4_158209946" 24 30 31
"chr4_158212339" 10 13 15
"chr4_158214629" 5 6 6
"chr4_158219261" 1 1 1
"chr4_158221281" 1 1 1
"chr4_158225821" 7 10 9
"chr4_158229414" 2 2 3
"chr4_158231779" 2 3 3
"chr4_158238643" 1 2 3
"chr4_158254770" 8 11 9
"chr4_158259004" 7 11 13
"chr4_158262225" 10 16 14
"chr4_158269176" 1 2 3
"chr4_158272194" 9 12 11
"chr4_158276975" 4 6 5
"chr4_158278975" 9 13 14
"chr4_158281173" 16 22 26
"chr4_158283301" 8 13 16
"chr4_158287126" 5 6 5
"chr4_158288638" 9 14 10
"chr4_158294723" 1 1 2
"chr4_158314119" 2 3 2
"chr4_158325075" 4 6 5
"chr4_158327190" 7 10 11
"chr4_158342023" 1 1 1
"chr4_158350163" 9 14 16
"chr4_158356810" 1 1 2
"chr4_158361336" 16 20 22
"chr4_158364155" 9 13 9
"chr4_158366636" 11 15 12
"chr4_158369294" 41 50 49
"chr4_158386545" 20 29 33
"chr4_158399384" 2 2 4
"chr4_158401626" 3 4 4
"chr4_158407615" 1 1 1
"chr4_158409851" 27 32 32
"chr4_158422985" 20 25 28
"chr4_158425975" 1 1 1
"chr4_158430245" 1 1 1
"chr4_158436833" 2 2 3
"chr4_158439195" 5 6 7
"chr4_158441067" 1 1 1
"chr4_158443125" 11 15 12
"chr4_158455976" 4 6 6
"chr4_158479613" 1 1 1
"chr4_158483849" 13 21 29
"chr4_158509978" 11 16 12
"chr4_158511838" 2 3 3
"chr4_158513745" 2 2 2
"chr4_158515561" 22 28 26
"chr4_158517187" 1 1 3
"chr4_158531173" 10 14 18
"chr4_158546475" 39 50 49
"chr4_158549593" 1 1 2
"chr4_158558320" 2 3 4
"chr4_158589934" 3 5 7
"chr4_158602016" 3 5 4
"chr4_158606664" 1 1 1
"chr4_158608107" 1 1 2
"chr4_158610420" 31 39 40
"chr4_158614337" 5 7 12
"chr4_158616305" 2 3 2
"chr4_158642592" 7 12 16
"chr4_158645938" 9 12 11
"chr4_158648660" 4 5 5
"chr4_158652438" 11 15 17
"chr4_158654215" 6 8 11
"chr4_158688965" 2 4 9
"chr4_158693159" 20 27 32
"chr4_158695278" 21 27 26
"chr4_158712071" 2 2 2
"chr4_158713342" 8 9 9
"chr4_158717487" 2 3 2
"chr4_158719425" 5 8 9
"chr4_158723896" 19 22 20
"chr4_158725617" 1 1 3
"chr4_158727478" 22 26 27
"chr4_158740334" 4 6 9
"chr4_158752949" 9 15 20
"chr4_158763884" 26 34 33
"chr4_158778134" 3 4 4
"chr4_158782894" 1 1 1
"chr4_158791594" 19 24 22
"chr4_158796078" 13 18 16
"chr4_158797794" 27 32 34
"chr4_158799938" 31 41 33
"chr4_158801977" 24 27 28
"chr4_158804248" 13 20 20
"chr4_158806639" 9 16 12
"chr4_158809660" 13 25 26
"chr4_158813865" 1 2 3
"chr4_158832032" 19 33 36
"chr4_158833829" 1 2 5
"chr4_158835972" 11 18 18
"chr4_158838367" 5 8 9
"chr4_158840409" 9 15 17
"chr4_158854838" 9 14 12
"chr4_158857328" 25 37 41
"chr4_158859561" 21 36 39
"chr4_158879846" 3 5 6
"chr4_158899354" 13 16 18
"chr4_158911822" 2 2 4
"chr4_158913756" 22 27 25
"chr4_158927042" 21 28 26
"chr4_158928871" 2 2 3
"chr4_158931253" 1 1 2
"chr4_158933439" 23 29 30
"chr4_158936027" 9 13 12
"chr4_158941886" 8 14 13
"chr4_158947625" 1 1 2
"chr4_158949892" 1 1 1
"chr4_158951595" 6 7 10
"chr4_158956633" 4 5 6
"chr4_158958541" 1 2 6
"chr4_158976634" 1 2 2
"chr4_158982652" 10 13 13
"chr4_158984960" 4 5 5
"chr4_158987331" 1 1 2
"chr4_158990020" 1 1 2
"chr4_158992341" 2 3 4
"chr4_159000587" 7 14 10
"chr4_159016609" 3 4 5
"chr4_159018795" 6 7 8
"chr4_159023179" 1 1 1
"chr4_159025823" 6 8 7
"chr4_159031233" 5 6 5
"chr4_159039305" 25 31 33
"chr4_159043791" 9 16 21
"chr4_159065543" 1 2 9
"chr4_159069968" 1 2 3
"chr4_159080098" 11 15 14
"chr4_159081900" 14 19 19
"chr4_159084043" 11 14 16
"chr4_159095907" 3 4 4
"chr4_159102302" 15 21 19
"chr4_159105581" 1 1 2
"chr4_159109707" 21 31 36
"chr4_159112020" 19 26 22
"chr4_159113810" 23 32 31
"chr4_159117039" 34 48 43
"chr4_159145869" 7 10 11
"chr4_159181568" 10 11 11
"chr4_159183789" 5 6 8
"chr4_159185918" 9 11 10
"chr4_159192446" 16 20 20
"chr4_159203408" 1 1 1
"chr4_159227426" 4 6 4
"chr4_159231057" 1 1 2
"chr4_159233067" 7 10 7
"chr4_159237179" 22 28 30
"chr4_159244036" 4 6 12
"chr4_159246366" 28 33 31
"chr4_159248639" 7 9 10
"chr4_159251608" 20 22 21
"chr4_159254747" 12 16 16
"chr4_159257595" 19 25 26
"chr4_159260388" 38 49 48
"chr4_159276199" 29 36 37
"chr4_159279667" 7 10 13
"chr4_159290226" 1 1 2
"chr4_159293994" 1 1 1
"chr4_159302621" 28 35 31
"chr4_159305395" 1 1 1
"chr4_159307860" 27 31 34
"chr4_159311588" 10 13 12
"chr4_159333950" 1 1 3
"chr4_159359111" 1 1 2
"chr4_159365138" 3 5 3
"chr4_159368984" 25 30 32
"chr4_159377744" 7 10 8
"chr4_159380778" 34 53 52
"chr4_159382919" 2 3 5
"chr4_159384908" 10 15 14
"chr4_159386561" 1 1 1
"chr4_159389617" 5 6 6
"chr4_159392530" 1 1 1
"chr4_159396914" 20 23 23
"chr4_159399784" 18 23 21
"chr4_159414671" 23 36 34
"chr4_159427489" 1 2 1
"chr4_159441073" 3 4 3
"chr4_159443712" 1 1 1
"chr4_159446035" 6 9 9
"chr4_159447745" 4 5 4
"chr4_159450036" 9 12 13
"chr4_159468351" 1 1 1
"chr4_159472479" 24 28 27
"chr4_159476679" 1 1 1
"chr4_159480431" 6 8 9
"chr4_159485757" 11 21 21
"chr4_159489178" 3 4 4
"chr4_159508199" 1 1 2
"chr4_159510051" 8 10 13
"chr4_159523880" 2 2 2
"chr4_159525985" 1 1 1
"chr4_159532703" 16 19 20
"chr4_159537500" 1 1 1
"chr4_159540276" 1 1 3
"chr4_159565817" 3 4 3
"chr4_159568062" 18 27 34
"chr4_159573508" 18 27 30
"chr4_159592199" 24 30 28
"chr4_159594862" 8 10 10
"chr4_159597045" 5 6 6
"chr4_159601223" 3 4 3
"chr4_159615872" 3 6 4
"chr4_159622099" 2 3 2
"chr4_159635678" 6 9 7
"chr4_159638388" 8 10 8
"chr4_159643322" 11 14 14
"chr4_159645646" 1 2 1
"chr4_159651229" 8 11 10
"chr4_159667525" 14 25 26
"chr4_159675328" 8 11 10
"chr4_159679617" 13 18 17
"chr4_159682041" 10 14 15
"chr4_159684634" 1 1 1
"chr4_159687373" 4 5 4
"chr4_159694617" 5 6 5
"chr4_159720675" 2 4 4
"chr4_159731478" 24 39 42
"chr4_159733768" 9 14 17
"chr4_159737183" 4 6 6
"chr4_159742638" 14 22 25
"chr4_159744486" 3 4 4
"chr4_159746208" 1 2 2
"chr4_159747821" 3 4 3
"chr4_159749790" 22 25 26
"chr4_159751862" 1 2 1
"chr4_159754292" 12 14 14
"chr4_159757843" 4 6 7
"chr4_159773119" 1 1 2
"chr4_159791665" 18 25 28
"chr4_159798986" 10 16 15
"chr4_159801691" 2 3 6
"chr4_159803592" 18 22 20
"chr4_159805714" 12 17 15
"chr4_159822512" 21 25 26
"chr4_159826180" 5 6 6
"chr4_159838624" 13 17 16
"chr4_159840089" 16 22 27
"chr4_159841829" 18 25 30
"chr4_159843759" 24 33 29
"chr4_159854218" 2 3 4
"chr4_159859276" 1 1 1
"chr4_159861404" 3 4 4
"chr4_159863192" 17 21 20
"chr4_159868794" 5 8 7
"chr4_159874605" 1 2 2
"chr4_159893869" 5 8 10
"chr4_159912641" 4 6 5
"chr4_159914856" 8 12 10
"chr4_159926915" 1 1 2
"chr4_159933669" 1 1 2
"chr4_159937154" 1 1 1
"chr4_159940662" 2 2 2
"chr4_159945095" 5 7 6
"chr4_159948609" 1 1 1
"chr4_159956748" 6 7 7
"chr4_159968850" 5 6 6
"chr4_159972031" 2 3 3
"chr4_159984406" 2 3 3
"chr4_159989957" 12 14 17
"chr4_159994257" 2 3 3
"chr4_160015400" 6 7 8
"chr4_160024501" 3 4 5
"chr4_160028841" 7 8 9
"chr4_160031246" 5 6 6
"chr4_160047903" 2 2 2
"chr4_160056795" 2 2 2
"chr4_160062125" 1 1 2
"chr4_160081754" 2 2 4
"chr4_160085849" 6 8 9
"chr4_160090723" 11 15 13
"chr4_160096875" 6 8 8
"chr4_160102014" 2 2 4
"chr4_160103796" 4 5 7
"chr4_160136026" 29 38 36
"chr4_160156681" 1 1 1
"chr4_160161300" 6 8 6
